 e,E ->m,M
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 2.994762E+03
-9.702970E-01 2.935570E+03
-9.504950E-01 2.877571E+03
-9.306931E-01 2.820766E+03
-9.108911E-01 2.765154E+03
-8.910891E-01 2.710735E+03
-8.712871E-01 2.657509E+03
-8.514851E-01 2.605477E+03
-8.316832E-01 2.554638E+03
-8.118812E-01 2.504992E+03
-7.920792E-01 2.456539E+03
-7.722772E-01 2.409279E+03
-7.524752E-01 2.363213E+03
-7.326733E-01 2.318340E+03
-7.128713E-01 2.274660E+03
-6.930693E-01 2.232174E+03
-6.732673E-01 2.190881E+03
-6.534653E-01 2.150781E+03
-6.336634E-01 2.111874E+03
-6.138614E-01 2.074160E+03
-5.940594E-01 2.037640E+03
-5.742574E-01 2.002313E+03
-5.544554E-01 1.968179E+03
-5.346535E-01 1.935238E+03
-5.148515E-01 1.903491E+03
-4.950495E-01 1.872937E+03
-4.752475E-01 1.843576E+03
-4.554455E-01 1.815408E+03
-4.356436E-01 1.788434E+03
-4.158416E-01 1.762653E+03
-3.960396E-01 1.738065E+03
-3.762376E-01 1.714670E+03
-3.564356E-01 1.692468E+03
-3.366337E-01 1.671460E+03
-3.168317E-01 1.651645E+03
-2.970297E-01 1.633023E+03
-2.772277E-01 1.615595E+03
-2.574257E-01 1.599360E+03
-2.376238E-01 1.584318E+03
-2.178218E-01 1.570469E+03
-1.980198E-01 1.557813E+03
-1.782178E-01 1.546351E+03
-1.584158E-01 1.536082E+03
-1.386139E-01 1.527006E+03
-1.188119E-01 1.519123E+03
-9.900990E-02 1.512434E+03
-7.920792E-02 1.506938E+03
-5.940594E-02 1.502635E+03
-3.960396E-02 1.499525E+03
-1.980198E-02 1.497609E+03
-8.673617E-18 1.496886E+03
1.980198E-02 1.497356E+03
3.960396E-02 1.499019E+03
5.940594E-02 1.501875E+03
7.920792E-02 1.505925E+03
9.900990E-02 1.511168E+03
1.188119E-01 1.517604E+03
1.386139E-01 1.525234E+03
1.584158E-01 1.534057E+03
1.782178E-01 1.544072E+03
1.980198E-01 1.555282E+03
2.178218E-01 1.567684E+03
2.376238E-01 1.581280E+03
2.574257E-01 1.596069E+03
2.772277E-01 1.612051E+03
2.970297E-01 1.629226E+03
3.168317E-01 1.647595E+03
3.366337E-01 1.667157E+03
3.564356E-01 1.687912E+03
3.762376E-01 1.709860E+03
3.960396E-01 1.733002E+03
4.158416E-01 1.757336E+03
4.356436E-01 1.782864E+03
4.554455E-01 1.809586E+03
4.752475E-01 1.837500E+03
4.950495E-01 1.866608E+03
5.148515E-01 1.896909E+03
5.346535E-01 1.928403E+03
5.544554E-01 1.961091E+03
5.742574E-01 1.994971E+03
5.940594E-01 2.030045E+03
6.138614E-01 2.066313E+03
6.336634E-01 2.103773E+03
6.534653E-01 2.142427E+03
6.732673E-01 2.182273E+03
6.930693E-01 2.223314E+03
7.128713E-01 2.265547E+03
7.326733E-01 2.308974E+03
7.524752E-01 2.353593E+03
7.722772E-01 2.399407E+03
7.920792E-01 2.446413E+03
8.118812E-01 2.494612E+03
8.316832E-01 2.544005E+03
8.514851E-01 2.594591E+03
8.712871E-01 2.646371E+03
8.910891E-01 2.699343E+03
9.108911E-01 2.753509E+03
9.306931E-01 2.808868E+03
9.504950E-01 2.865420E+03
9.702970E-01 2.923165E+03
9.900990E-01 2.982104E+03
