 e,E ->m,M
x-axis: "Sqrt(S)"  from 5.000000 to 200.000000 N_points= 100
Asymmetry
5.000000E+00 -1.586901E-03
6.969697E+00 -3.094909E-03
8.939394E+00 -5.112538E-03
1.090909E+01 -7.651288E-03
1.287879E+01 -1.072577E-02
1.484848E+01 -1.435390E-02
1.681818E+01 -1.855712E-02
1.878788E+01 -2.336065E-02
2.075758E+01 -2.879386E-02
2.272727E+01 -3.489065E-02
2.469697E+01 -4.168983E-02
2.666667E+01 -4.923577E-02
2.863636E+01 -5.757888E-02
3.060606E+01 -6.677637E-02
3.257576E+01 -7.689304E-02
3.454545E+01 -8.800212E-02
3.651515E+01 -1.001863E-01
3.848485E+01 -1.135388E-01
4.045455E+01 -1.281646E-01
4.242424E+01 -1.441815E-01
4.439394E+01 -1.617214E-01
4.636364E+01 -1.809313E-01
4.833333E+01 -2.019743E-01
5.030303E+01 -2.250288E-01
5.227273E+01 -2.502881E-01
5.424242E+01 -2.779562E-01
5.621212E+01 -3.082412E-01
5.818182E+01 -3.413421E-01
6.015152E+01 -3.774266E-01
6.212121E+01 -4.165936E-01
6.409091E+01 -4.588129E-01
6.606061E+01 -5.038296E-01
6.803030E+01 -5.510167E-01
7.000000E+01 -5.991575E-01
7.196970E+01 -6.461382E-01
7.393939E+01 -6.885550E-01
7.590909E+01 -7.212936E-01
7.787879E+01 -7.372622E-01
7.984848E+01 -7.276498E-01
8.181818E+01 -6.832462E-01
8.378788E+01 -5.971910E-01
8.575758E+01 -4.686222E-01
8.772727E+01 -3.052838E-01
8.969697E+01 -1.227039E-01
9.166667E+01 6.044867E-02
9.363636E+01 2.281629E-01
9.560606E+01 3.706771E-01
9.757576E+01 4.847386E-01
9.954545E+01 5.717489E-01
1.015152E+02 6.355059E-01
1.034848E+02 6.805073E-01
1.054545E+02 7.109954E-01
1.074242E+02 7.305591E-01
1.093939E+02 7.420557E-01
1.113636E+02 7.476798E-01
1.133333E+02 7.490804E-01
1.153030E+02 7.474807E-01
1.172727E+02 7.437809E-01
1.192424E+02 7.386400E-01
1.212121E+02 7.325392E-01
1.231818E+02 7.258287E-01
1.251515E+02 7.187628E-01
1.271212E+02 7.115250E-01
1.290909E+02 7.042474E-01
1.310606E+02 6.970240E-01
1.330303E+02 6.899208E-01
1.350000E+02 6.829831E-01
1.369697E+02 6.762413E-01
1.389394E+02 6.697143E-01
1.409091E+02 6.634132E-01
1.428788E+02 6.573430E-01
1.448485E+02 6.515043E-01
1.468182E+02 6.458946E-01
1.487879E+02 6.405093E-01
1.507576E+02 6.353424E-01
1.527273E+02 6.303866E-01
1.546970E+02 6.256343E-01
1.566667E+02 6.210772E-01
1.586364E+02 6.167072E-01
1.606061E+02 6.125160E-01
1.625758E+02 6.084956E-01
1.645455E+02 6.046379E-01
1.665152E+02 6.009353E-01
1.684848E+02 5.973805E-01
1.704545E+02 5.939662E-01
1.724242E+02 5.906858E-01
1.743939E+02 5.875328E-01
1.763636E+02 5.845009E-01
1.783333E+02 5.815844E-01
1.803030E+02 5.787777E-01
1.822727E+02 5.760756E-01
1.842424E+02 5.734730E-01
1.862121E+02 5.709653E-01
1.881818E+02 5.685480E-01
1.901515E+02 5.662169E-01
1.921212E+02 5.639680E-01
1.940909E+02 5.617975E-01
1.960606E+02 5.597018E-01
1.980303E+02 5.576776E-01
2.000000E+02 5.557216E-01
