 e,E ->m,M
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 3.092993E-01
-9.702970E-01 3.046255E-01
-9.504950E-01 3.029757E-01
-9.306931E-01 3.043499E-01
-9.108911E-01 3.087480E-01
-8.910891E-01 3.161700E-01
-8.712871E-01 3.266160E-01
-8.514851E-01 3.400859E-01
-8.316832E-01 3.565798E-01
-8.118812E-01 3.760976E-01
-7.920792E-01 3.986393E-01
-7.722772E-01 4.242050E-01
-7.524752E-01 4.527947E-01
-7.326733E-01 4.844083E-01
-7.128713E-01 5.190458E-01
-6.930693E-01 5.567073E-01
-6.732673E-01 5.973927E-01
-6.534653E-01 6.411020E-01
-6.336634E-01 6.878353E-01
-6.138614E-01 7.375926E-01
-5.940594E-01 7.903737E-01
-5.742574E-01 8.461789E-01
-5.544554E-01 9.050079E-01
-5.346535E-01 9.668610E-01
-5.148515E-01 1.031738E+00
-4.950495E-01 1.099639E+00
-4.752475E-01 1.170564E+00
-4.554455E-01 1.244512E+00
-4.356436E-01 1.321485E+00
-4.158416E-01 1.401482E+00
-3.960396E-01 1.484502E+00
-3.762376E-01 1.570547E+00
-3.564356E-01 1.659616E+00
-3.366337E-01 1.751708E+00
-3.168317E-01 1.846824E+00
-2.970297E-01 1.944965E+00
-2.772277E-01 2.046129E+00
-2.574257E-01 2.150317E+00
-2.376238E-01 2.257529E+00
-2.178218E-01 2.367765E+00
-1.980198E-01 2.481026E+00
-1.782178E-01 2.597310E+00
-1.584158E-01 2.716617E+00
-1.386139E-01 2.838949E+00
-1.188119E-01 2.964305E+00
-9.900990E-02 3.092685E+00
-7.920792E-02 3.224089E+00
-5.940594E-02 3.358516E+00
-3.960396E-02 3.495968E+00
-1.980198E-02 3.636443E+00
-8.673617E-18 3.779943E+00
1.980198E-02 3.926466E+00
3.960396E-02 4.076014E+00
5.940594E-02 4.228585E+00
7.920792E-02 4.384180E+00
9.900990E-02 4.542799E+00
1.188119E-01 4.704443E+00
1.386139E-01 4.869110E+00
1.584158E-01 5.036801E+00
1.782178E-01 5.207516E+00
1.980198E-01 5.381255E+00
2.178218E-01 5.558017E+00
2.376238E-01 5.737804E+00
2.574257E-01 5.920615E+00
2.772277E-01 6.106450E+00
2.970297E-01 6.295308E+00
3.168317E-01 6.487191E+00
3.366337E-01 6.682097E+00
3.564356E-01 6.880028E+00
3.762376E-01 7.080982E+00
3.960396E-01 7.284961E+00
4.158416E-01 7.491963E+00
4.356436E-01 7.701989E+00
4.554455E-01 7.915039E+00
4.752475E-01 8.131113E+00
4.950495E-01 8.350212E+00
5.148515E-01 8.572334E+00
5.346535E-01 8.797479E+00
5.544554E-01 9.025649E+00
5.742574E-01 9.256843E+00
5.940594E-01 9.491061E+00
6.138614E-01 9.728303E+00
6.336634E-01 9.968568E+00
6.534653E-01 1.021186E+01
6.732673E-01 1.045817E+01
6.930693E-01 1.070751E+01
7.128713E-01 1.095987E+01
7.326733E-01 1.121526E+01
7.524752E-01 1.147367E+01
7.722772E-01 1.173510E+01
7.920792E-01 1.199956E+01
8.118812E-01 1.226704E+01
8.316832E-01 1.253754E+01
8.514851E-01 1.281107E+01
8.712871E-01 1.308762E+01
8.910891E-01 1.336720E+01
9.108911E-01 1.364980E+01
9.306931E-01 1.393543E+01
9.504950E-01 1.422408E+01
9.702970E-01 1.451575E+01
9.900990E-01 1.481044E+01
